"Species","Sex","Pop","Variable","Mean","Cov1","Cov2"
"Loxodonta africana","Female","ZIMS_1960-1990","lifeExp",29.0550877352098,2.44387816113597,-0.00869903777729156
"Loxodonta africana","Female","ZIMS_1960-1990","lifespEq",0.873177304874495,-0.00869903777729156,0.0100797224908954
"Loxodonta africana","Female","ZIMS_1990-2020","lifeExp",34.4406888595883,1.1239810488707,0.0589483444793811
"Loxodonta africana","Female","ZIMS_1990-2020","lifespEq",0.948418271195234,0.0589483444793811,0.00451709000443388
"Loxodonta africana","Female","Amboseli","lifeExp",34.775705632381,0.776363381680467,0.0360930301297739
"Loxodonta africana","Female","Amboseli","lifespEq",0.832427415973885,0.0360930301297739,0.00234820794158303
"Loxodonta africana","Female","Samburu","lifeExp",21.7441815394159,0.326249788668129,0.0148788773518245
"Loxodonta africana","Female","Samburu","lifespEq",0.359163439152422,0.0148788773518245,0.000991411184336332
"Loxodonta africana","Male","ZIMS_1960-1990","lifeExp",19.5989282900384,2.17099600630199,0.103991449678445
"Loxodonta africana","Male","ZIMS_1960-1990","lifespEq",0.747670205014488,0.103991449678445,0.0219183015834335
"Loxodonta africana","Male","ZIMS_1990-2020","lifeExp",31.3051612100103,5.91451963028685,-0.0116973683458603
"Loxodonta africana","Male","ZIMS_1990-2020","lifespEq",0.642024392551044,-0.0116973683458603,0.0189402492995809
"Loxodonta africana","Male","Amboseli","lifeExp",25.837242409155,0.599067446166181,0.0282893896158505
"Loxodonta africana","Male","Amboseli","lifespEq",0.655160076744016,0.0282893896158505,0.00212493476262225
"Loxodonta africana","Male","Samburu","lifeExp",19.3223156402674,0.184044306234624,0.0101049943788922
"Loxodonta africana","Male","Samburu","lifespEq",0.509102006845159,0.0101049943788922,0.000836595729159548
"Elephas maximus","Female","ZIMS_1960-1990","lifeExp",35.1286099286333,1.67635785466606,0.0679466106227925
"Elephas maximus","Female","ZIMS_1960-1990","lifespEq",0.739916706774611,0.0679466106227925,0.00531004927875595
"Elephas maximus","Female","ZIMS_1990-2020","lifeExp",41.0547569950298,1.37584475704647,0.0555756655721868
"Elephas maximus","Female","ZIMS_1990-2020","lifespEq",0.823373406278891,0.0555756655721868,0.00390575126136112
"Elephas maximus","Female","Myanmar","lifeExp",37.7705239579225,0.290566039885165,0.0123377990744016
"Elephas maximus","Female","Myanmar","lifespEq",0.74486213891921,0.0123377990744016,0.000656818489996597
"Elephas maximus","Male","ZIMS_1960-1990","lifeExp",38.9728266937009,34.2733855359813,-0.302034334185065
"Elephas maximus","Male","ZIMS_1960-1990","lifespEq",0.457927211443861,-0.302034334185065,0.048070528803109
"Elephas maximus","Male","ZIMS_1990-2020","lifeExp",37.3632113421004,4.7718069782926,0.0178927612948906
"Elephas maximus","Male","ZIMS_1990-2020","lifespEq",0.56864984988776,0.0178927612948906,0.00931399244510931
"Elephas maximus","Male","Myanmar","lifeExp",29.2574296903121,0.298972366231239,0.0124784404341588
"Elephas maximus","Male","Myanmar","lifespEq",0.481931681299847,0.0124784404341588,0.000659604743031635
