"Species","Sex","Pop","parameter","Mean","StdErr","Lower95.CI","Upper95.CI"
"Loxodonta africana","Female","ZIMS_1960-1990","a0",-0.774758196265337,0.498362052938918,-1.81161248151691,0.168717125006775
"Loxodonta africana","Female","ZIMS_1960-1990","a1",2.07176464773277,0.703397924526074,1.1214386248592,3.75831216958407
"Loxodonta africana","Female","ZIMS_1960-1990","c",0.00637879977245109,0.0041141671740597,0.000325985420038415,0.0151703592913863
"Loxodonta africana","Female","ZIMS_1960-1990","b0",-6.32872793354065,1.37467782587452,-9.93147882254428,-4.94704263762496
"Loxodonta africana","Female","ZIMS_1960-1990","b1",0.098890884375438,0.0371200491857386,0.0541465353892704,0.19450672257681
"Loxodonta africana","Female","ZIMS_1990-2020","a0",0.0662642033632791,0.385012431547672,-0.724680107056243,0.783759067058609
"Loxodonta africana","Female","ZIMS_1990-2020","a1",8.57974849987038,2.25052978371435,4.66540054158379,13.3237225630457
"Loxodonta africana","Female","ZIMS_1990-2020","c",0.0125644253349799,0.0021454110693435,0.00811052660748192,0.0166037319072026
"Loxodonta africana","Female","ZIMS_1990-2020","b0",-9.05805736652184,1.02544992988819,-11.2522304167096,-7.2088549923587
"Loxodonta africana","Female","ZIMS_1990-2020","b1",0.1387375705384,0.0219296556156795,0.0984442035804754,0.184512248626244
"Loxodonta africana","Female","ZIMS 1990-2020","a0",-2.35477991079676,0.198004462233558,-2.74730287356017,-1.97315890385652
"Loxodonta africana","Female","ZIMS 1990-2020","a1",0.628458329647272,0.125335573895346,0.427692740484291,0.917857595588812
"Loxodonta africana","Female","ZIMS 1990-2020","c",0.00431885122455618,0.00247159226862647,0.000340015511895563,0.00935999555620203
"Loxodonta africana","Female","ZIMS 1990-2020","b0",-6.41643870280662,0.470768659389057,-7.50250494772256,-5.67741158684173
"Loxodonta africana","Female","ZIMS 1990-2020","b1",0.0794209205983637,0.00896047787986849,0.064749083242088,0.0994571987392251
"Loxodonta africana","Female","ZIMS 1990-2020","a0",-2.89627250580725,0.227021254736427,-3.36435238099158,-2.48065254166616
"Loxodonta africana","Female","ZIMS 1990-2020","a1",0.439473067706233,0.0792276439645368,0.308443903188679,0.618202475663527
"Loxodonta africana","Female","ZIMS 1990-2020","c",0.0298956567657705,0.00658484602580134,0.011065248160787,0.0371042842791207
"Loxodonta africana","Female","ZIMS 1990-2020","b0",-8.63867444356396,1.89825196631139,-12.0392517077428,-4.88562544031487
"Loxodonta africana","Female","ZIMS 1990-2020","b1",0.133226495786165,0.0385007195708764,0.0568072776842925,0.200877000222854
"Loxodonta africana","Male","ZIMS_1960-1990","a0",-1.17941132590447,0.768301011038393,-2.80020729626016,0.243662048265812
"Loxodonta africana","Male","ZIMS_1960-1990","a1",3.87865548793889,2.70262607253187,0.848084920928937,10.6780904934107
"Loxodonta africana","Male","ZIMS_1960-1990","c",0.0111667301432764,0.00856843866645997,0.000412957660606339,0.0318671062312043
"Loxodonta africana","Male","ZIMS_1960-1990","b0",-5.26730643518464,0.888949064290691,-7.34017423465618,-4.07017607935818
"Loxodonta africana","Male","ZIMS_1960-1990","b1",0.107478337965747,0.030516830175613,0.056738391456176,0.172230475109911
"Loxodonta africana","Male","ZIMS_1990-2020","a0",-1.13103031978444,0.583245936310319,-2.34784454946462,-0.0724083089953709
"Loxodonta africana","Male","ZIMS_1990-2020","a1",8.45280965107493,3.25045713465699,2.8032336734245,15.3285928755099
"Loxodonta africana","Male","ZIMS_1990-2020","c",0.0151727359536555,0.0062189355123892,0.00197079647033113,0.0257789026091212
"Loxodonta africana","Male","ZIMS_1990-2020","b0",-7.34267224160408,2.30969380169361,-13.1590185719818,-4.47008218998275
"Loxodonta africana","Male","ZIMS_1990-2020","b1",0.0920876661437664,0.0486714891625039,0.0261346448666904,0.209859575817094
"Loxodonta africana","Male","ZIMS 1990-2020","a0",-2.10481080029273,0.208896385580738,-2.51743466296013,-1.69672820967573
"Loxodonta africana","Male","ZIMS 1990-2020","a1",0.802147393153041,0.190591831707301,0.498877678553704,1.23482713944256
"Loxodonta africana","Male","ZIMS 1990-2020","c",0.00714776495932065,0.00448840861228509,0.000446520373680023,0.0165166780431911
"Loxodonta africana","Male","ZIMS 1990-2020","b0",-5.40754687086975,0.484155829510247,-6.56282562040688,-4.72899767661224
"Loxodonta africana","Male","ZIMS 1990-2020","b1",0.074479318279361,0.010756672116552,0.0583600995001738,0.100076078568343
"Loxodonta africana","Male","ZIMS 1990-2020","a0",-2.22202032795333,0.0996003007298017,-2.42011504737106,-2.02707131143015
"Loxodonta africana","Male","ZIMS 1990-2020","a1",0.33707015447422,0.0318813996529265,0.27805601706969,0.402777424840575
"Loxodonta africana","Male","ZIMS 1990-2020","c",0.000898837857574722,0.000865190115342655,2.5085234742361e-05,0.00322338577510319
"Loxodonta africana","Male","ZIMS 1990-2020","b0",-4.82248342664567,0.119162886406095,-5.06785546771292,-4.59821430398658
"Loxodonta africana","Male","ZIMS 1990-2020","b1",0.0819532966013227,0.00399828561325393,0.0740801986152552,0.0901008385803963
"Elephas maximus","Female","ZIMS_1960-1990","a0",-1.84895501599477,0.401803545677604,-2.58671570361151,-1.02545316382654
"Elephas maximus","Female","ZIMS_1960-1990","a1",0.863378396475272,0.483965596841187,0.421403208486261,1.87809937367873
"Elephas maximus","Female","ZIMS_1960-1990","c",0.0112462147279519,0.0024197193255579,0.00567198861499788,0.0153226668052101
"Elephas maximus","Female","ZIMS_1960-1990","b0",-9.39401509712305,1.62827794395581,-12.9146878079926,-6.54946894903537
"Elephas maximus","Female","ZIMS_1960-1990","b1",0.128628180284273,0.0313436471870367,0.0720651694331565,0.195048030859522
"Elephas maximus","Female","ZIMS_1990-2020","a0",-2.24360937388859,0.233853367360574,-2.68348764442935,-1.76101389058689
"Elephas maximus","Female","ZIMS_1990-2020","a1",0.551038347405099,0.170207975882219,0.33393287187694,0.995991399682198
"Elephas maximus","Female","ZIMS_1990-2020","c",0.00325278823844758,0.00201811964639842,0.000172783609814902,0.0074712316821669
"Elephas maximus","Female","ZIMS_1990-2020","b0",-6.91582161322343,0.563272313528427,-8.17493052547287,-6.02117225562836
"Elephas maximus","Female","ZIMS_1990-2020","b1",0.0736353412291224,0.010353893245442,0.0564501725748403,0.0965402405559616
"Elephas maximus","Female","ZIMS 1990-2020","a0",-2.62099412583097,0.0959740451604443,-2.80923514126163,-2.43310072586814
"Elephas maximus","Female","ZIMS 1990-2020","a1",0.350943180607304,0.0419630340683958,0.27413210715222,0.438782475257953
"Elephas maximus","Female","ZIMS 1990-2020","c",0.00510994714314747,0.00124439456377077,0.00249286481223078,0.00734325206472829
"Elephas maximus","Female","ZIMS 1990-2020","b0",-7.16151210071848,0.285789625411918,-7.71672791275877,-6.60554529939053
"Elephas maximus","Female","ZIMS 1990-2020","b1",0.0815570065846065,0.00475905195365543,0.0722799930198605,0.0906125843153086
"Elephas maximus","Male","ZIMS_1960-1990","a0",-1.02985436288455,0.556598516162469,-2.15832861671685,0.0392804110649303
"Elephas maximus","Male","ZIMS_1960-1990","a1",2.92707443536701,1.71254230828554,0.855801368390285,7.39208566364247
"Elephas maximus","Male","ZIMS_1960-1990","c",0.0173328294812531,0.00497344796504345,0.00595263980733551,0.026665916162364
"Elephas maximus","Male","ZIMS_1960-1990","b0",-9.81377689681442,3.30725344607197,-17.3087427302952,-4.76323478210317
"Elephas maximus","Male","ZIMS_1960-1990","b1",0.0910001711181281,0.0648158198491219,0.00455069540164038,0.244871391000706
"Elephas maximus","Male","ZIMS_1990-2020","a0",-1.90520637662377,0.235230064635305,-2.36485969645199,-1.45155020238355
"Elephas maximus","Male","ZIMS_1990-2020","a1",0.735391677737992,0.219014775945254,0.428143558775568,1.19434891458468
"Elephas maximus","Male","ZIMS_1990-2020","c",0.00711329069680166,0.00397027274040301,0.000487372360578185,0.0150274775786121
"Elephas maximus","Male","ZIMS_1990-2020","b0",-6.34250443518847,1.11468622659765,-9.08535677281811,-4.8249611091641
"Elephas maximus","Male","ZIMS_1990-2020","b1",0.0577723934260113,0.0208892431322907,0.0268356476654635,0.109058750562806
"Elephas maximus","Male","ZIMS 1990-2020","a0",-2.2586143546296,0.078686919735277,-2.41058040695293,-2.10321100503252
"Elephas maximus","Male","ZIMS 1990-2020","a1",0.306588662842598,0.0324558136851995,0.247828880805859,0.375342833933883
"Elephas maximus","Male","ZIMS 1990-2020","c",0.00685159697400939,0.00229297475347952,0.00191368342556369,0.0109866181517634
"Elephas maximus","Male","ZIMS 1990-2020","b0",-6.45488788567381,0.336761683745362,-7.1260565672169,-5.81126593872606
"Elephas maximus","Male","ZIMS 1990-2020","b1",0.0768161468781593,0.00598812600993701,0.0652313895810971,0.0888998202002317
